"sj","item","adv_type","adv_t","verb_t","gramm","ROI","label","fp","gp","tt","ri","ro"
"1","15","Deic","Future","Future","1","3","los socialistas",520,520,940,1,0
"1","15","Deic","Future","Future","1","4","perpetuarán",542,1544,1124,0,1
"1","15","Deic","Future","Future","1","5","los errores",463,463,463,0,0
"1","15","Deic","Future","Future","1","6","de los nacionalistas.",488,488,488,0,0
"1","13","Deic","Future","Future","1","1","En la feria,",675,675,675,0,0
"1","13","Deic","Future","Future","1","2","el mes que viene",706,706,969,1,0
"1","13","Deic","Future","Future","1","3","las multinacionales",424,2076,1813,0,1
"1","13","Deic","Future","Future","1","4","monopolizarán",478,478,478,0,0
"1","13","Deic","Future","Future","1","5","los productos",500,500,500,0,0
"1","13","Deic","Future","Future","1","6","exóticos.",336,336,336,0,0
"1","80","Deic","Past","Future","0","1","Trabajando en equipo,",927,927,927,0,0
"1","80","Deic","Past","Future","0","2","hace unos años",600,600,817,1,0
"1","80","Deic","Past","Future","0","3","los climatólogos",272,1046,829,0,1
"1","80","Deic","Past","Future","0","4","deducirán",474,474,474,0,0
"1","80","Deic","Past","Future","0","5","los efectos",387,387,387,0,0
"1","80","Deic","Past","Future","0","6","del cambio climático.",582,582,582,0,0
"1","75","Deic","Past","Future","0","1","Por el bien de todos,",1449,1449,1449,0,0
"1","75","Deic","Past","Future","0","2","hace unos meses",528,528,946,1,0
"1","75","Deic","Past","Future","0","3","los diputados",510,510,510,0,0
"1","75","Deic","Past","Future","0","4","reglarán",1075,1075,1075,0,0
"1","75","Deic","Past","Future","0","5","los horarios",254,254,437,1,0
"1","75","Deic","Past","Future","0","6","de los comercios.",234,1345,744,0,1
"1","83","Deic","Past","Future","0","1","Utilizando un pluviómetro,",4980,4980,6275,1,0
"1","83","Deic","Past","Future","0","2","ayer por la mañana",385,385,1131,1,0
"1","83","Deic","Past","Future","0","3","los estudiantes",367,2735,694,0,1
"1","83","Deic","Past","Future","0","4","medirán",589,589,1161,1,0
