"sj","item","adv_type","adv_t","verb_t","gramm","ROI","label","fp","gp","tt","ri","ro"
"24","60","Deic","Past","Future","0","2","ayer por la mañana",435,435,435,0,0
"24","60","Deic","Past","Future","0","3","los voluntarios",257,257,257,0,0
"24","60","Deic","Past","Future","0","4","apuntalarán",197,197,197,0,0
"24","60","Deic","Past","Future","0","5","la pared",215,215,215,0,0
"24","60","Deic","Past","Future","0","6","de la iglesia.",173,173,173,0,0
"24","28","Non-deic","none","Future","1","1","Con mucha paciencia,",854,854,854,0,0
"24","28","Non-deic","none","Future","1","2","después de clase",515,515,515,0,0
"24","28","Non-deic","none","Future","1","3","los profesores",202,202,202,0,0
"24","28","Non-deic","none","Future","1","4","aclararán",230,230,230,0,0
"24","28","Non-deic","none","Future","1","5","las dudas",230,230,230,0,0
"24","28","Non-deic","none","Future","1","6","de los estudiantes.",453,453,453,0,0
"24","88","Deic","Future","Future","1","1","Para saludar al público,",849,849,849,0,0
"24","88","Deic","Future","Future","1","2","el próximo domingo",460,460,460,0,0
"24","88","Deic","Future","Future","1","3","los deportistas",373,373,373,0,0
"24","88","Deic","Future","Future","1","4","batearán",243,243,243,0,0
"24","88","Deic","Future","Future","1","5","pelotas",208,208,208,0,0
"24","88","Deic","Future","Future","1","6","hacia las gradas.",397,397,397,0,0
"24","57","Deic","Past","Future","0","1","Al publicar el escándalo,",745,745,745,0,0
"24","57","Deic","Past","Future","0","2","la semana pasada",429,429,429,0,0
"24","57","Deic","Past","Future","0","3","los periodistas",221,221,221,0,0
"24","57","Deic","Past","Future","0","4","estigmatizarán",409,409,409,0,0
"24","57","Deic","Past","Future","0","5","la fama",273,273,273,0,0
"24","57","Deic","Past","Future","0","6","del cantante.",362,362,362,0,0
"24","13","Non-deic","none","Past","1","1","En la feria,",511,511,511,1,0
"24","13","Non-deic","none","Past","1","2","en diciembre",414,414,414,0,0
"24","13","Non-deic","none","Past","1","3","las multinacionales",164,1474,549,0,1
"24","13","Non-deic","none","Past","1","4","monopolizaron",385,385,385,0,0
"24","13","Non-deic","none","Past","1","5","los productos",238,238,238,0,0
"24","13","Non-deic","none","Past","1","6","exóticos.",NA,NA,NA,NA,NA
"24","56","Deic","Past","Future","0","1","Siguiendo su estrategia,",699,699,699,0,0
"24","56","Deic","Past","Future","0","2","hace tres semanas",625,625,625,0,0
"24","56","Deic","Past","Future","0","3","los abogados",285,285,285,0,0
"24","56","Deic","Past","Future","0","4","equipararán",204,204,204,0,0
"24","56","Deic","Past","Future","0","5","a la víctima",342,342,342,0,0
"24","56","Deic","Past","Future","0","6","con un terrorista.",209,209,209,0,0
"24","90","Deic","Future","Future","1","1","Según los críticos,",630,630,630,0,0
"24","90","Deic","Future","Future","1","2","mañana",219,219,219,0,0
"24","90","Deic","Future","Future","1","3","los músicos",446,446,446,0,0
"24","90","Deic","Future","Future","1","4","decepcionarán",746,746,746,0,0
"24","90","Deic","Future","Future","1","5","al público",279,279,279,0,0
"24","90","Deic","Future","Future","1","6","mas fanático.",287,287,287,0,0
"24","85","Deic","Future","Past","0","1","Por obligación,",636,636,636,1,0
"24","85","Deic","Future","Past","0","2","mañana a las ocho",109,1402,766,0,1
"24","85","Deic","Future","Past","0","3","las periodistas",377,377,377,0,0
"24","85","Deic","Future","Past","0","4","soportaron",304,304,304,0,0
"24","85","Deic","Future","Past","0","5","el discurso",255,255,255,0,0
"24","85","Deic","Future","Past","0","6","del rey.",NA,NA,NA,NA,NA
"24","91","Deic","Future","Future","1","1","Como de costumbre,",747,747,747,0,0
"24","91","Deic","Future","Future","1","2","dentro de poco",357,357,357,0,0
"24","91","Deic","Future","Future","1","3","los mineros",333,333,333,0,0
"24","91","Deic","Future","Future","1","4","colgarán",243,243,243,0,0
"24","91","Deic","Future","Future","1","5","sus cascos",230,230,230,0,0
"24","91","Deic","Future","Future","1","6","al llegar a la base.",394,394,394,0,0
"24","86","Deic","Future","Future","1","1","En Bilbao,",411,411,411,1,0
"24","86","Deic","Future","Future","1","2","mañana al mediodía",142,1035,624,0,1
"24","86","Deic","Future","Future","1","3","las amigas",404,404,404,0,0
"24","86","Deic","Future","Future","1","4","buscarán",201,201,201,0,0
"24","86","Deic","Future","Future","1","5","un restaurante",462,462,462,0,0
"24","86","Deic","Future","Future","1","6","para comer.",207,207,207,0,0
"24","38","Deic","Past","Past","1","1","Incautamente,",1052,1052,1052,0,0
"24","38","Deic","Past","Past","1","2","en los años pasados",593,593,593,0,0
"24","38","Deic","Past","Past","1","3","los habitantes",194,194,194,0,0
"24","38","Deic","Past","Past","1","4","derrocharon",338,338,338,0,0
"24","38","Deic","Past","Past","1","5","el agua",319,319,319,0,0
"24","38","Deic","Past","Past","1","6","de los embalses.",266,266,266,0,0
"24","63","Deic","Past","Future","0","1","Por su buen comportamiento,",931,931,931,0,0
"24","63","Deic","Past","Future","0","2","la navidad pasada",534,534,534,0,0
"24","63","Deic","Past","Future","0","3","los padres",211,211,211,0,0
"24","63","Deic","Past","Future","0","4","regalarán",414,414,414,0,0
"24","63","Deic","Past","Future","0","5","juguetes",214,214,214,0,0
"24","63","Deic","Past","Future","0","6","a sus hijos.",88,88,88,0,0
"24","59","Deic","Past","Future","0","1","En la carretera de Irún,",808,808,808,0,0
"24","59","Deic","Past","Future","0","2","la semana pasada",527,527,527,0,0
"24","59","Deic","Past","Future","0","3","las obras",355,355,355,0,0
"24","59","Deic","Past","Future","0","4","conllevarán",247,247,247,0,0
"24","59","Deic","Past","Future","0","5","problemas",182,182,182,0,0
"24","59","Deic","Past","Future","0","6","de movilidad.",184,184,184,0,0
"24","80","Deic","Future","Past","0","1","Trabajando en equipo,",698,698,698,0,0
"24","80","Deic","Future","Past","0","2","dentro de poco",398,398,398,0,0
"24","80","Deic","Future","Past","0","3","los climatólogos",221,221,221,0,0
"24","80","Deic","Future","Past","0","4","dedujeron",466,466,466,0,0
"24","80","Deic","Future","Past","0","5","los efectos",236,236,236,0,0
"24","80","Deic","Future","Past","0","6","del cambio climático.",380,380,380,0,0
"24","6","Non-deic","none","Past","1","1","Como de costumbre,",1165,1165,1165,0,0
"24","6","Non-deic","none","Past","1","2","el lunes",147,147,147,0,0
"24","6","Non-deic","none","Past","1","3","las abuelas",362,362,362,0,0
"24","6","Non-deic","none","Past","1","4","despilfarraron",514,514,514,0,0
"24","6","Non-deic","none","Past","1","5","todo el dinero",278,278,278,0,0
"24","6","Non-deic","none","Past","1","6","en el bingo.",NA,NA,NA,NA,NA
"24","43","Deic","Past","Past","1","1","En el centro comercial,",798,798,798,0,0
"24","43","Deic","Past","Past","1","2","ayer por la noche",377,377,377,0,0
"24","43","Deic","Past","Past","1","3","los malabaristas",561,561,561,0,0
"24","43","Deic","Past","Past","1","4","amenizaron",177,177,177,0,0
"24","43","Deic","Past","Past","1","5","la espera",NA,NA,NA,NA,NA
"24","43","Deic","Past","Past","1","6","de los clientes.",NA,NA,NA,NA,NA
"24","31","Non-deic","none","Future","1","1","Gracias a su obra,",689,689,689,0,0
"24","31","Non-deic","none","Future","1","2","en época de crisis",640,640,640,0,0
"24","31","Non-deic","none","Future","1","3","los escritores",641,641,641,0,0
"24","31","Non-deic","none","Future","1","4","exaltarán",222,222,222,0,0
"24","31","Non-deic","none","Future","1","5","la grandeza",286,286,286,0,0
"24","31","Non-deic","none","Future","1","6","de País Vasco.",340,340,340,0,0
"24","4","Non-deic","none","Past","1","1","Debido a su ocupación,",643,643,643,0,0
"24","4","Non-deic","none","Past","1","2","con el tiempo",188,188,188,0,0
"24","4","Non-deic","none","Past","1","3","los anticuarios",358,358,358,0,0
"24","4","Non-deic","none","Past","1","4","coleccionaron",382,382,382,0,0
"24","4","Non-deic","none","Past","1","5","estatuas griegas",401,401,401,0,0
"24","4","Non-deic","none","Past","1","6","muy antiguas.",255,255,255,0,0
"24","83","Deic","Future","Past","0","1","Utilizando un pluviómetro,",NA,NA,NA,NA,NA
"24","83","Deic","Future","Past","0","2","mañana por la tarde",NA,NA,NA,NA,NA
"24","83","Deic","Future","Past","0","3","los estudiantes",NA,NA,NA,NA,NA
"24","83","Deic","Future","Past","0","4","midieron",NA,NA,NA,NA,NA
"24","83","Deic","Future","Past","0","5","la cantidad",NA,NA,NA,NA,NA
"24","83","Deic","Future","Past","0","6","de lluvia.",NA,NA,NA,NA,NA
"24","97","Deic","Future","Future","1","1","Por necesidad,",472,472,472,0,0
"24","97","Deic","Future","Future","1","2","en las próximas horas",595,595,595,0,0
"24","97","Deic","Future","Future","1","3","los jóvenes",204,204,204,0,0
"24","97","Deic","Future","Future","1","4","ocuparán",406,406,406,0,0
"24","97","Deic","Future","Future","1","5","la casa abandonada",639,639,639,0,0
"24","97","Deic","Future","Future","1","6","en Egia.",193,193,193,0,0
"24","32","Non-deic","none","Future","1","1","De acuerdo con el convenio,",856,856,856,0,0
"24","32","Non-deic","none","Future","1","2","en navidades",251,251,251,0,0
"24","32","Non-deic","none","Future","1","3","las enfermeras",390,390,868,1,0
"24","32","Non-deic","none","Future","1","4","rotarán",216,921,443,0,1
"24","32","Non-deic","none","Future","1","5","su turno",253,253,253,0,0
"24","32","Non-deic","none","Future","1","6","de guardia nocturna.",679,679,679,0,0
"24","35","Deic","Past","Past","1","1","En los informativos,",706,706,706,0,0
"24","35","Deic","Past","Past","1","2","ayer al mediodía",342,342,342,0,0
"24","35","Deic","Past","Past","1","3","las periodistas",356,356,356,0,0
"24","35","Deic","Past","Past","1","4","bromearon",424,424,424,0,0
"24","35","Deic","Past","Past","1","5","sobre el presidente",545,545,545,0,0
"24","35","Deic","Past","Past","1","6","de España.",92,92,92,0,0
"24","36","Deic","Past","Past","1","1","Con ocasión de la comida familial,",1449,1449,1869,1,0
"24","36","Deic","Past","Past","1","2","el domingo pasado",748,1691,1271,0,1
"24","36","Deic","Past","Past","1","3","los abuelos",188,188,188,0,0
"24","36","Deic","Past","Past","1","4","disfrutaron",307,307,307,0,0
"24","36","Deic","Past","Past","1","5","al ver",NA,NA,NA,NA,NA
"24","36","Deic","Past","Past","1","6","al nieto.",120,120,120,0,0
"24","17","Non-deic","none","Future","1","1","En el mercadillo,",646,646,646,0,0
"24","17","Non-deic","none","Future","1","2","el fin de semana",198,198,198,0,0
"24","17","Non-deic","none","Future","1","3","las clientas",200,200,200,0,0
"24","17","Non-deic","none","Future","1","4","regatearán",452,452,452,0,0
"24","17","Non-deic","none","Future","1","5","para conseguir",410,410,410,0,0
"24","17","Non-deic","none","Future","1","6","un precio mejor.",317,317,317,0,0
"24","96","Deic","Future","Future","1","1","Cuidadosamente,",483,483,483,0,0
"24","96","Deic","Future","Future","1","2","mañana por la tarde",673,673,673,0,0
"24","96","Deic","Future","Future","1","3","los vendedores",288,288,288,0,0
"24","96","Deic","Future","Future","1","4","conservarán",277,277,277,0,0
"24","96","Deic","Future","Future","1","5","los pasteles",201,201,201,0,0
"24","96","Deic","Future","Future","1","6","en un envase.",267,267,267,0,0
"26","97","Deic","Past","Future","0","1","Por necesidad,",964,964,1648,1,0
"26","97","Deic","Past","Future","0","2","hace algunas semanas",174,2051,1923,0,1
"26","97","Deic","Past","Future","0","3","los jóvenes",443,443,621,0,0
"26","97","Deic","Past","Future","0","4","ocuparán",339,339,819,1,0
"26","97","Deic","Past","Future","0","5","la casa abandonada",659,659,1656,1,0
"26","97","Deic","Past","Future","0","6","en Egia.",355,3822,647,0,1
"26","91","Deic","Past","Future","0","1","Como de costumbre,",742,742,742,0,0
"26","91","Deic","Past","Future","0","2","ayer temprano",1021,1021,1021,0,0
"26","91","Deic","Past","Future","0","3","los mineros",560,560,560,0,0
"26","91","Deic","Past","Future","0","4","colgarán",910,910,910,0,0
"26","91","Deic","Past","Future","0","5","sus cascos",492,492,492,0,0
"26","91","Deic","Past","Future","0","6","al llegar a la base.",1369,1369,1369,0,0
"26","90","Deic","Past","Future","0","1","Según los críticos,",1338,1338,1892,1,0
"26","90","Deic","Past","Future","0","2","anoche",301,301,2057,1,0
"26","90","Deic","Past","Future","0","3","los músicos",947,947,3849,0,0
"26","90","Deic","Past","Future","0","4","decepcionarán",763,763,3850,1,0
"26","90","Deic","Past","Future","0","5","al público",587,2296,1475,1,1
"26","90","Deic","Past","Future","0","6","mas fanático.",370,8277,799,0,1
"26","92","Deic","Past","Future","0","1","Antes de irse,",1095,1095,1566,1,0
"26","92","Deic","Past","Future","0","2","el domingo pasado",2144,2144,3908,1,0
"26","92","Deic","Past","Future","0","3","los sacerdotes",479,479,1536,0,0
"26","92","Deic","Past","Future","0","4","congregarán",768,768,2136,1,0
"26","92","Deic","Past","Future","0","5","a los fieles",601,601,1488,0,0
"26","92","Deic","Past","Future","0","6","delante de la iglesia.",783,6927,1380,0,1
"26","53","Non-deic","none","Future","1","1","Tras perder una apuesta,",2021,2021,2443,1,0
"26","53","Non-deic","none","Future","1","2","después del almuerzo",825,825,1248,1,0
"26","53","Non-deic","none","Future","1","3","las amigas",158,158,614,0,0
"26","53","Non-deic","none","Future","1","4","esquiarán",268,268,518,0,0
"26","53","Non-deic","none","Future","1","5","fuera de pista",1034,1034,1495,1,0
"26","53","Non-deic","none","Future","1","6","en los Alpes.",499,3625,1613,0,1
"26","18","Deic","Future","Future","1","1","Con ocasión de la fiesta,",1743,1743,3375,1,0
"26","18","Deic","Future","Future","1","2","el próximo martes",621,621,1001,0,0
"26","18","Deic","Future","Future","1","3","las madres",405,405,405,0,0
"26","18","Deic","Future","Future","1","4","freirán",330,330,1140,0,0
"26","18","Deic","Future","Future","1","5","muchos buñuelos",606,606,1022,0,0
"26","18","Deic","Future","Future","1","6","para los niños.",1004,4668,1430,0,1
"26","49","Non-deic","none","Past","1","1","Para su diversión,",1014,1014,1940,1,0
"26","49","Non-deic","none","Past","1","2","al atardecer",407,407,1756,1,0
"26","49","Non-deic","none","Past","1","3","los niños",218,1926,1124,1,1
"26","49","Non-deic","none","Past","1","4","ducharon",242,242,478,0,0
"26","49","Non-deic","none","Past","1","5","al perro",230,949,491,0,1
"26","49","Non-deic","none","Past","1","6","del vecino.",536,2371,1120,0,1
"26","58","Non-deic","none","Future","1","1","Indecentemente,",1382,1382,2105,1,0
"26","58","Non-deic","none","Future","1","2","el lunes",168,651,798,1,1
"26","58","Non-deic","none","Future","1","3","los políticos",595,595,781,1,0
"26","58","Non-deic","none","Future","1","4","costearán",283,283,364,1,0
"26","58","Non-deic","none","Future","1","5","su cena",452,533,452,0,1
"26","58","Non-deic","none","Future","1","6","con dinero público.",945,2001,945,0,1
"26","55","Non-deic","none","Future","1","1","Durante la ceremonia,",862,862,1135,1,0
"26","55","Non-deic","none","Future","1","2","el fin de semana",709,709,1312,1,0
"26","55","Non-deic","none","Future","1","3","las chicas",230,230,230,0,0
"26","55","Non-deic","none","Future","1","4","cantarán",598,598,598,0,0
"26","55","Non-deic","none","Future","1","5","delante",636,636,753,1,0
"26","55","Non-deic","none","Future","1","6","de toda la clase.",276,1652,659,0,1
"26","29","Deic","Future","Future","1","1","Con sus ideas,",481,481,700,1,0
"26","29","Deic","Future","Future","1","2","dentro de un año",184,1303,1300,0,1
"26","29","Deic","Future","Future","1","3","los activistas",514,514,1370,0,0
"26","29","Deic","Future","Future","1","4","revolucionarán",547,547,1953,1,0
"26","29","Deic","Future","Future","1","5","los derechos humanos",642,642,1395,0,0
"26","29","Deic","Future","Future","1","6","en China.",527,4357,645,0,1
"26","8","Deic","Future","Past","0","1","Durante la clase,",796,796,1089,1,0
"26","8","Deic","Future","Past","0","2","mañana",269,269,754,1,0
"26","8","Deic","Future","Past","0","3","los profesores",592,1474,696,0,1
"26","8","Deic","Future","Past","0","4","evidenciaron",412,412,693,1,0
"26","8","Deic","Future","Past","0","5","los problemas",360,735,585,1,1
"26","8","Deic","Future","Past","0","6","de comunicación.",593,724,593,0,1
"26","4","Deic","Future","Past","0","1","Debido a su ocupación,",918,918,2717,1,0
"26","4","Deic","Future","Past","0","2","el próximo año",179,1166,1284,1,1
"26","4","Deic","Future","Past","0","3","los anticuarios",728,728,3977,1,0
"26","4","Deic","Future","Past","0","4","coleccionaron",589,589,2542,0,0
"26","4","Deic","Future","Past","0","5","estatuas griegas",145,4761,2050,1,1
"26","4","Deic","Future","Past","0","6","muy antiguas.",348,5291,883,0,1
"26","30","Deic","Future","Future","1","1","En la bodega,",827,827,1095,1,0
"26","30","Deic","Future","Future","1","2","mañana a las cinco",1081,1081,1832,1,0
"26","30","Deic","Future","Future","1","3","los sumilleres",3023,3023,3361,0,0
"26","30","Deic","Future","Future","1","4","decantarán",266,266,1780,1,0
"26","30","Deic","Future","Future","1","5","el vino",288,1878,1037,0,1
"26","30","Deic","Future","Future","1","6","más viejo.",288,2318,288,0,1
"26","17","Deic","Future","Future","1","1","En el mercadillo,",829,829,1575,1,0
"26","17","Deic","Future","Future","1","2","mañana por la tarde",745,745,1300,1,0
"26","17","Deic","Future","Future","1","3","las clientas",519,519,1011,0,0
"26","17","Deic","Future","Future","1","4","regatearán",691,691,822,0,0
"26","17","Deic","Future","Future","1","5","para conseguir",301,301,301,0,0
"26","17","Deic","Future","Future","1","6","un precio mejor.",1091,3015,1091,0,1
"26","38","Non-deic","none","Past","1","1","Incautamente,",1141,1141,1669,1,0
"26","38","Non-deic","none","Past","1","2","durante el otoño",702,702,916,0,0
"26","38","Non-deic","none","Past","1","3","los habitantes",555,555,555,0,0
"26","38","Non-deic","none","Past","1","4","derrocharon",619,619,619,0,0
"26","38","Non-deic","none","Past","1","5","el agua",314,314,314,0,0
"26","38","Non-deic","none","Past","1","6","de los embalses.",766,1508,766,0,1
"26","48","Non-deic","none","Past","1","1","En el ambulatorio,",803,803,1573,1,0
"26","48","Non-deic","none","Past","1","2","el mes de agosto",772,772,1894,0,0
"26","48","Non-deic","none","Past","1","3","los enfermeros",440,440,1354,1,0
"26","48","Non-deic","none","Past","1","4","auxiliaron",396,666,1295,1,1
"26","48","Non-deic","none","Past","1","5","a decenas",478,478,478,0,0
"26","48","Non-deic","none","Past","1","6","de personas.",287,3722,287,0,1
"26","83","Deic","Past","Past","1","1","Utilizando un pluviómetro,",1432,1432,1432,0,0
"26","83","Deic","Past","Past","1","2","ayer por la mañana",637,637,637,0,0
"26","83","Deic","Past","Past","1","3","los estudiantes",656,656,656,0,0
"26","83","Deic","Past","Past","1","4","midieron",263,263,263,0,0
"26","83","Deic","Past","Past","1","5","la cantidad",601,601,601,0,0
"26","83","Deic","Past","Past","1","6","de lluvia.",NA,NA,NA,NA,NA
"26","20","Deic","Future","Future","1","1","En Santiago de Compostela,",796,796,1771,1,0
"26","20","Deic","Future","Future","1","2","el próximo verano",165,1583,1241,0,1
"26","20","Deic","Future","Future","1","3","los frailes",573,573,786,0,0
"26","20","Deic","Future","Future","1","4","hospedarán",645,645,1330,1,0
"26","20","Deic","Future","Future","1","5","a los peregrinos",225,1007,1634,1,1
"26","20","Deic","Future","Future","1","6","del Camino.",1152,4577,1623,0,1
"26","7","Deic","Future","Past","0","1","Antes de analizar los datos,",1020,1020,1020,0,0
"26","7","Deic","Future","Past","0","2","mañana",265,265,265,0,0
"26","7","Deic","Future","Past","0","3","los biólogos",627,627,853,1,0
"26","7","Deic","Future","Past","0","4","diferenciaron",900,1415,1189,0,1
"26","7","Deic","Future","Past","0","5","las muestras buenas",523,523,752,1,0
"26","7","Deic","Future","Past","0","6","de las malas.",408,1376,1147,0,1
"26","1","Deic","Future","Past","0","1","Durante el festival,",663,663,663,0,0
"26","1","Deic","Future","Past","0","2","mañana",362,362,569,1,0
"26","1","Deic","Future","Past","0","3","los actores",485,485,724,0,0
"26","1","Deic","Future","Past","0","4","representaron",268,268,446,1,0
"26","1","Deic","Future","Past","0","5","una obra",523,523,1768,1,0
"26","1","Deic","Future","Past","0","6","de Moliere.",196,2282,413,0,1
"26","21","Deic","Future","Future","1","1","Debido a su edad,",692,692,1154,1,0
"26","21","Deic","Future","Future","1","2","el año que viene",813,813,1112,0,0
"26","21","Deic","Future","Future","1","3","los directores",584,584,944,1,0
"26","21","Deic","Future","Future","1","4","jubilarán",657,657,1701,1,0
"26","21","Deic","Future","Future","1","5","al compañero",335,335,1476,1,0
"26","21","Deic","Future","Future","1","6","de Aitor.",366,4488,1182,0,1
"26","15","Deic","Future","Past","0","1","Según la prensa,",729,729,729,0,0
"26","15","Deic","Future","Past","0","2","la próxima decada",598,598,598,0,0
"26","15","Deic","Future","Past","0","3","los socialistas",229,229,229,0,0
"26","15","Deic","Future","Past","0","4","perpetuaron",523,523,523,0,0
"26","15","Deic","Future","Past","0","5","los errores",265,265,579,1,0
"26","15","Deic","Future","Past","0","6","de los nacionalistas.",658,972,658,0,1
"26","14","Deic","Future","Past","0","1","En Bulgaria,",522,522,1292,1,0
"26","14","Deic","Future","Past","0","2","dentro de unos días",726,726,1743,0,0
"26","14","Deic","Future","Past","0","3","los políticos",732,732,1086,0,0
"26","14","Deic","Future","Past","0","4","nacionalizaron",1335,1335,2069,1,0
"26","14","Deic","Future","Past","0","5","las empresas",486,486,792,0,0
"26","14","Deic","Future","Past","0","6","de luz.",307,3488,307,0,1
"26","12","Deic","Future","Past","0","1","Como de costumbre,",827,827,1137,1,0
"26","12","Deic","Future","Past","0","2","el próximo año",217,1557,1258,1,1
"26","12","Deic","Future","Past","0","3","las empresas",438,438,892,0,0
"26","12","Deic","Future","Past","0","4","malgastaron",468,468,928,0,0
"26","12","Deic","Future","Past","0","5","la subvención",271,271,271,0,0
"26","12","Deic","Future","Past","0","6","del gobierno.",430,2182,430,0,1
"26","70","Deic","Past","Past","1","1","Nuevamente,",267,267,492,1,0
"26","70","Deic","Past","Past","1","2","la primavera pasada",181,1256,1789,1,1
"26","70","Deic","Past","Past","1","3","las mariposas",433,433,798,0,0
"26","70","Deic","Past","Past","1","4","revolotearon",637,637,1112,0,0
"26","70","Deic","Past","Past","1","5","alrededor de las flores",651,651,651,0,0
"26","70","Deic","Past","Past","1","6","del jardín.",952,2817,952,0,1
"26","33","Non-deic","none","Past","1","1","En el gremio,",658,658,658,0,0
"26","33","Non-deic","none","Past","1","2","a mediados de año",676,676,676,0,0
"26","33","Non-deic","none","Past","1","3","los empresarios",684,684,684,0,0
"26","33","Non-deic","none","Past","1","4","pagaron",225,225,225,0,0
"26","33","Non-deic","none","Past","1","5","mucha mercancia",786,786,786,0,0
"26","33","Non-deic","none","Past","1","6","procedente de Italia.",1289,1289,1289,0,0
"26","40","Non-deic","none","Past","1","1","Como buenos invitados,",1222,1222,1645,1,0
"26","40","Non-deic","none","Past","1","2","el domingo de pascua",695,695,801,0,0
"26","40","Non-deic","none","Past","1","3","los visitantes",571,571,571,0,0
"26","40","Non-deic","none","Past","1","4","brindaron",435,435,435,0,0
"26","40","Non-deic","none","Past","1","5","con el príncipe",641,641,943,1,0
"26","40","Non-deic","none","Past","1","6","de Gales.",324,1582,751,0,1
"26","11","Deic","Future","Past","0","1","En Pamplona,",844,844,1092,1,0
"26","11","Deic","Future","Past","0","2","mañana por la noche",829,829,1104,1,0
"26","11","Deic","Future","Past","0","3","las niñas",473,473,473,0,0
"26","11","Deic","Future","Past","0","4","cenaron",383,383,843,1,0
"26","11","Deic","Future","Past","0","5","con sus padres",1003,1835,1375,0,1
"26","11","Deic","Future","Past","0","6","en un restaurante famoso.",1032,1555,1032,0,1
"26","87","Deic","Past","Future","0","1","Gracias a la beca,",784,784,1262,1,0
"26","87","Deic","Past","Future","0","2","el año pasado",494,494,952,0,0
"26","87","Deic","Past","Future","0","3","los investigadores",331,331,763,1,0
"26","87","Deic","Past","Future","0","4","progresarán",563,563,1115,0,0
"26","87","Deic","Past","Future","0","5","en sus estudios",475,475,851,0,0
"26","87","Deic","Past","Future","0","6","sobre la polución.",974,3759,1463,0,1
"26","10","Deic","Future","Past","0","1","Para agilizar el papeleo,",1083,1083,1083,0,0
"26","10","Deic","Future","Past","0","2","la próxima semana",319,319,319,0,0
"26","10","Deic","Future","Past","0","3","los secretarios",417,417,417,0,0
"26","10","Deic","Future","Past","0","4","gestionaron",247,247,247,0,0
"26","10","Deic","Future","Past","0","5","los pagos",253,253,253,0,0
"26","10","Deic","Future","Past","0","6","electrónicamente.",550,550,550,0,0
"26","75","Deic","Past","Past","1","1","Por el bien de todos,",628,628,943,1,0
"26","75","Deic","Past","Past","1","2","hace unos meses",528,528,860,1,0
"26","75","Deic","Past","Past","1","3","los diputados",361,361,788,1,0
"26","75","Deic","Past","Past","1","4","reglaron",279,279,510,0,0
"26","75","Deic","Past","Past","1","5","los horarios",469,469,707,0,0
"26","75","Deic","Past","Past","1","6","de los comercios.",822,3204,1661,0,1
"26","63","Non-deic","none","Future","1","1","Por su buen comportamiento,",809,809,809,0,0
"26","63","Non-deic","none","Future","1","2","durante las fiestas",244,244,244,0,0
"26","63","Non-deic","none","Future","1","3","los padres",501,501,501,0,0
"26","63","Non-deic","none","Future","1","4","regalarán",285,285,285,0,0
"26","63","Non-deic","none","Future","1","5","juguetes",334,334,334,0,0
"26","63","Non-deic","none","Future","1","6","a sus hijos.",197,197,197,0,0
"26","39","Non-deic","none","Past","1","1","Para prevenir plagas,",966,966,966,0,0
"26","39","Non-deic","none","Past","1","2","en época de heladas",586,586,586,0,0
"26","39","Non-deic","none","Past","1","3","los botánicos",612,612,612,0,0
"26","39","Non-deic","none","Past","1","4","aclimataron",302,302,461,1,0
"26","39","Non-deic","none","Past","1","5","las matas de tomate",1704,1704,1993,1,0
"26","39","Non-deic","none","Past","1","6","al frío.",435,1230,782,0,1
"26","13","Deic","Future","Past","0","1","En la feria,",683,683,1303,1,0
"26","13","Deic","Future","Past","0","2","el mes que viene",584,584,1879,1,0
"26","13","Deic","Future","Past","0","3","las multinacionales",512,512,1703,1,0
"26","13","Deic","Future","Past","0","4","monopolizaron",200,1177,1945,0,1
"26","13","Deic","Future","Past","0","5","los productos",226,226,510,0,0
"26","13","Deic","Future","Past","0","6","exóticos.",516,5092,934,0,1
"26","77","Deic","Past","Past","1","1","En Europa,",442,442,1191,1,0
"26","77","Deic","Past","Past","1","2","la década pasada",587,587,1195,1,0
"26","77","Deic","Past","Past","1","3","los especuladores",428,428,3293,1,0
"26","77","Deic","Past","Past","1","4","negociaron",176,3031,635,0,1
"26","77","Deic","Past","Past","1","5","ventajas competitivas",505,505,505,0,0
"26","77","Deic","Past","Past","1","6","en la Bolsa.",486,2312,486,0,1
"26","85","Deic","Past","Past","1","1","Por obligación,",420,420,420,0,0
"26","85","Deic","Past","Past","1","2","ayer a las cuatro",727,727,727,0,0
"26","85","Deic","Past","Past","1","3","las periodistas",792,792,792,0,0
"26","85","Deic","Past","Past","1","4","soportaron",327,327,327,0,0
"26","85","Deic","Past","Past","1","5","el discurso",934,934,934,0,0
"26","85","Deic","Past","Past","1","6","del rey.",NA,NA,NA,NA,NA
"26","69","Deic","Past","Past","1","1","En el congreso,",1042,1042,1710,1,0
"26","69","Deic","Past","Past","1","2","el lunes pasado",564,564,1944,1,0
"26","69","Deic","Past","Past","1","3","los asistentes",388,388,617,0,0
"26","69","Deic","Past","Past","1","4","hojearon",281,281,540,0,0
"26","69","Deic","Past","Past","1","5","el nuevo libro",978,978,1180,0,0
"26","69","Deic","Past","Past","1","6","de filosofía.",606,3582,844,0,1
"26","82","Deic","Past","Past","1","1","Gracias al flotador,",1180,1180,2026,1,0
"26","82","Deic","Past","Past","1","2","ayer por la mañana",872,872,1545,1,0
"26","82","Deic","Past","Past","1","3","los aprendices",605,605,1256,1,0
"26","82","Deic","Past","Past","1","4","flotaron",317,317,617,0,0
"26","82","Deic","Past","Past","1","5","sin miedo",486,486,676,0,0
"26","82","Deic","Past","Past","1","6","hasta el borde",509,509,509,0,0
"26","82","Deic","Past","Past","1","7","de la piscina.",684,3516,856,0,1
